,Title,Author,ID,Created,Original_Title,Without_stopwords,Lemmatized_Words,Pos_tags,Cluster,PCA1,PCA2
0,"['apple', 'vision', 'pro', 'has', 'ruined', 'movies', 'for', 'me']",Old_Possible8977,1an21fb,2024-02-09 23:34:09,Apple Vision Pro has ruined movies for me,"['apple', 'vision', 'pro', 'ruined', 'movies']","['apple', 'vision', 'pro', 'ruined', 'movies']","[('[', 'JJ'), (""'apple"", 'NNP'), (""'"", 'POS'), (',', ','), (""'vision"", 'NN'), (""'"", ""''""), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'ruined"", 'VBD'), (""'"", ""''""), (',', ','), (""'movies"", 'NNS'), (""'"", 'POS'), (']', 'NN')]",2,0.5469797875435832,-0.06628612503785344
1,"['its', 'too', 'expensive', 'no', 'regrets']",McNerdsAlot,1akdyzo,2024-02-06 16:35:52,It’s too expensive. No regrets.,"['expensive', 'regrets']","['expensive', 'regrets']","[('[', 'RB'), (""'expensive"", 'JJ'), (""'"", ""''""), (',', ','), (""'regrets"", 'NNS'), (""'"", 'POS'), (']', 'NN')]",0,-0.11499567337491727,-0.03187267591712545
2,"['how', 'to', 'ruin', 'your', 'movie', 'library']",Mequbbal_Trader,1atvcqx,2024-02-18 14:31:17,How to ruin your movie library,"['ruin', 'movie', 'library']","['ruin', 'movie', 'library']","[('[', 'JJ'), (""'ruin"", 'NNP'), (""'"", 'POS'), (',', ','), (""'movie"", 'NNP'), (""'"", 'POS'), (',', ','), (""'library"", 'NNP'), (""'"", 'POS'), (']', 'NN')]",0,-0.11499567337491873,-0.0318726759171257
3,"['i', 'was', 'really', 'wrong', 'about', 'the', 'avp', 'this', 'is', 'the', 'most', 'incredible', 'piece', 'of', 'tech', 'ive', 'ever', 'used']",AppleBottmBeans,1amtycf,2024-02-09 17:45:25,I was REALLY wrong about the AVP. This is the most incredible piece of tech I've ever used,"['really', 'wrong', 'avp', 'incredible', 'piece', 'tech', 'ive', 'ever', 'used']","['really', 'wrong', 'avp', 'incredible', 'piece', 'tech', 'ive', 'ever', 'used']","[('[', 'RB'), (""'really"", 'RB'), (""'"", ""''""), (',', ','), (""'wrong"", 'NNP'), (""'"", 'POS'), (',', ','), (""'avp"", 'NNP'), (""'"", 'POS'), (',', ','), (""'incredible"", 'JJ'), (""'"", ""''""), (',', ','), (""'piece"", 'NNP'), (""'"", 'POS'), (',', ','), (""'tech"", ""''""), (""'"", ""''""), (',', ','), (""'ive"", 'CD'), (""'"", ""''""), (',', ','), (""'ever"", ""''""), (""'"", ""''""), (',', ','), (""'used"", 'VBD'), (""'"", 'POS'), (']', 'NN')]",0,-0.17826135574077448,-0.1254009839759
4,"['apple', 'vision', 'pro', 'is', 'the', 'best', 'thing', 'to', 'happen', 'to', 'movies', 'since', 'popcorn']",Deathtosnoopy,1b2jq3m,2024-02-28 22:35:12,Apple vision pro is the best thing to happen to movies since popcorn,"['apple', 'vision', 'pro', 'best', 'thing', 'happen', 'movies', 'since', 'popcorn']","['apple', 'vision', 'pro', 'best', 'thing', 'happen', 'movies', 'since', 'popcorn']","[('[', 'JJ'), (""'apple"", 'NNP'), (""'"", 'POS'), (',', ','), (""'vision"", 'NN'), (""'"", ""''""), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'best"", 'JJS'), (""'"", ""''""), (',', ','), (""'thing"", 'VBG'), (""'"", ""''""), (',', ','), (""'happen"", 'NNP'), (""'"", 'POS'), (',', ','), (""'movies"", 'NNS'), (""'"", 'POS'), (',', ','), (""'since"", 'NN'), (""'"", ""''""), (',', ','), (""'popcorn"", ""''""), (""'"", 'POS'), (']', 'NN')]",2,0.3939356189874735,-0.019660350772557903
5,"['just', 'posting', 'to', 'say', 'i', 'have', 'had', 'the', 'vision', 'pro', 'since', 'launch', 'and', 'im', 'keeping', 'it']",emtiv676,1aq2blo,2024-02-13 19:36:00,Just posting to say I have had the Vision Pro since launch and I’m keeping it.,"['posting', 'say', 'vision', 'pro', 'since', 'launch', 'im', 'keeping']","['posting', 'say', 'vision', 'pro', 'since', 'launch', 'im', 'keeping']","[('[', 'RB'), (""'posting"", 'VBG'), (""'"", ""''""), (',', ','), (""'say"", 'NNP'), (""'"", 'POS'), (',', ','), (""'vision"", 'NN'), (""'"", ""''""), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'since"", 'NN'), (""'"", ""''""), (',', ','), (""'launch"", ""''""), (""'"", ""''""), (',', ','), (""'im"", 'NNP'), (""'"", 'POS'), (',', ','), (""'keeping"", 'VBG'), (""'"", ""''""), (']', 'NN')]",1,0.2595498559745289,0.6197392133516995
6,"['breaking', 'news', 'local', 'man', 'paralyzed', 'by', 'indecision', 'seeks', 'approval', 'from', 'internet', 'strangers', 'on', 'apple', 'vision', 'pro', 'dilemma']",I-Have-Mono,1ayhede,2024-02-24 01:02:16,"Breaking News: Local Man Paralyzed by Indecision, Seeks Approval from Internet Strangers on Apple Vision Pro Dilemma","['breaking', 'news', 'local', 'man', 'paralyzed', 'indecision', 'seeks', 'approval', 'internet', 'strangers', 'apple', 'vision', 'pro', 'dilemma']","['breaking', 'news', 'local', 'man', 'paralyzed', 'indecision', 'seeks', 'approval', 'internet', 'strangers', 'apple', 'vision', 'pro', 'dilemma']","[('[', 'RB'), (""'breaking"", 'VBG'), (""'"", ""''""), (',', ','), (""'news"", 'NNS'), (""'"", 'POS'), (',', ','), (""'local"", 'JJ'), (""'"", ""''""), (',', ','), (""'man"", 'NNP'), (""'"", 'POS'), (',', ','), (""'paralyzed"", 'VBN'), (""'"", ""''""), (',', ','), (""'indecision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'seeks"", ""''""), (""'"", ""''""), (',', ','), (""'approval"", ""''""), (""'"", ""''""), (',', ','), (""'internet"", 'NNP'), (""'"", 'POS'), (',', ','), (""'strangers"", 'NNS'), (""'"", 'POS'), (',', ','), (""'apple"", ""''""), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'dilemma"", ""''""), (""'"", 'POS'), (']', 'NN')]",2,0.22258045825204303,-0.043891514319667466
7,"['absolutely', 'magical', 'no', 'other', 'words', 'for', 'it']",thomaspripley,1ahmtcu,2024-02-03 03:46:26,Absolutely Magical... No Other Words For It,"['absolutely', 'magical', 'words']","['absolutely', 'magical', 'words']","[('[', 'RB'), (""'absolutely"", 'RB'), (""'"", ""''""), (',', ','), (""'magical"", 'JJ'), (""'"", ""''""), (',', ','), (""'words"", 'NNS'), (""'"", 'POS'), (']', 'NN')]",0,-0.11499567337491978,-0.03187267591712634
8,"['forgetting', 'about', 'your', 'own', 'body']",stitchlips17,1axb7he,2024-02-22 16:52:21,Forgetting about your own body? ,"['forgetting', 'body']","['forgetting', 'body']","[('[', 'RB'), (""'forgetting"", 'VBG'), (""'"", ""''""), (',', ','), (""'body"", 'NN'), (""'"", ""''""), (']', 'NN')]",0,-0.11499567337491892,-0.03187267591712615
9,"['imax', 'app']",Old_Possible8977,1asjckf,2024-02-16 20:55:33,IMAX APP,"['imax', 'app']","['imax', 'app']","[('[', 'RB'), (""'imax"", 'NNP'), (""'"", 'POS'), (',', ','), (""'app"", ""''""), (""'"", 'POS'), (']', 'NN')]",0,-0.03624204261903324,-0.10549585647494122
